timestamp,stmp_vwmp (lower),lmax_vwmp (lower),gmni_vwmp (lower),itbi_vwmp (lower),okcn_vwmp (lower),bfnx_vwmp (lower),btrx_vwmp (lower),bfly_vwmp (lower),bnus_vwmp (lower),cbse_vwmp (lower),krkn_vwmp (lower),all_vwmp (lower)
2021-02-24 04:25:00,51038.26,50705.5,50808.52,50821.75,50789.26,50773.0,50861.6,50736.28,50813.01,50858.96,50800.0,50880.0
2021-02-24 04:30:00,50877.27,50830.0,50757.04,50732.25,50750.12,50806.0,50710.29,,50738.96,50797.2,50794.6,50843.72
2021-02-24 04:35:00,50677.41,50740.5,50785.51,50841.5,50680.87,50630.0,50711.43,,50794.5,50737.01,50623.7,50754.08
2021-02-24 04:40:00,50566.0,50447.5,50486.81,50577.0,50442.44,50542.0,50400.0,,50349.56,50411.62,50423.1,50513.48
2021-02-24 04:45:00,50544.0,50632.8,50499.0,50487.75,50523.22,50630.0,50687.85,,50650.66,50489.9,50500.0,50675.0
2021-02-24 04:50:00,50863.85,50917.0,50899.9,50874.75,50888.5,50876.0,50709.36,,50919.12,50712.34,50905.7,50883.0
2021-02-24 04:55:00,50922.37,50842.9,50650.01,50795.25,50680.57,50599.0,50814.87,,50799.65,50818.38,50845.8,50878.0
2021-02-24 05:00:00,50741.24,50867.5,50900.0,50830.75,50834.95,50879.0,50800.0,,50829.17,50876.79,50900.2,50696.0
2021-02-24 05:05:00,50889.25,50871.5,50939.02,50913.25,50975.91,50917.0,50978.37,,50914.13,50942.6,51031.7,50998.13
2021-02-24 05:10:00,50866.32,50712.5,50706.35,50898.25,50730.94,50805.0,50838.2,,50619.9,50677.77,50696.3,50868.3
2021-02-24 05:15:00,50250.08,50433.5,50505.32,50323.5,50413.57,50276.0,50500.81,,50500.0,50499.99,50413.4,50321.77
2021-02-24 05:20:00,50058.33,50086.0,50036.69,50089.5,50177.84,50133.0,50000.12,,50102.62,50051.3,50080.8,50197.85
2021-02-24 05:25:00,50146.2,50219.5,50232.76,50234.25,50173.64,50043.0,50217.66,,50412.93,50154.63,50168.1,50116.1
2021-02-24 05:30:00,50278.91,50266.5,50260.5,50401.75,50283.03,50241.0,50282.64,,50308.65,50267.62,50280.3,50320.35
2021-02-24 05:35:00,50280.47,50418.5,50385.3,50471.75,50517.65,50396.0,50426.44,,50482.12,50470.32,50499.9,50404.12
2021-02-24 05:40:00,50492.35,50415.5,50366.41,50386.75,50342.69,50286.0,50385.32,,50345.46,50405.12,50383.6,50458.23
2021-02-24 05:45:00,50504.98,50450.06,50500.0,50403.5,50434.0,50353.0,50339.3,,50283.82,50354.33,50528.3,50419.89
2021-02-24 05:50:00,50266.8,50265.0,50365.25,50457.0,50405.7,50297.0,50427.41,,50248.61,50416.08,50420.3,50242.0
2021-02-24 05:55:00,50359.08,50271.0,50357.11,50345.0,50386.15,50194.0,50392.07,,50355.19,50425.95,50204.8,50260.0
2021-02-24 06:00:00,50447.91,50523.0,50274.89,50492.5,50507.21,50458.0,50444.07,,50458.43,50555.94,50487.8,50546.0
2021-02-24 06:05:00,50630.0,50597.0,50701.6,50597.75,50585.11,50467.0,50518.62,,50439.66,50556.86,50511.3,50588.38
2021-02-24 06:10:00,49755.39,50451.5,50126.49,49919.25,49930.04,49526.0,49800.0,49699.15,50176.24,49967.65,49749.6,49377.0
2021-02-24 06:15:00,49615.34,49475.0,49743.38,49584.25,49620.88,49512.0,49644.68,,49590.41,49601.57,49730.7,49500.0
2021-02-24 06:20:00,49949.05,49655.5,49610.39,50062.0,50004.68,49986.0,49608.32,,49583.4,50048.55,50068.8,49855.5
2021-02-24 06:25:00,50073.73,49925.5,49727.97,49736.0,49692.32,49730.0,49950.95,,49743.46,49950.0,49661.1,49996.0
2021-02-24 06:30:00,49749.72,49681.5,49829.95,49888.25,49908.39,49775.0,49655.89,,49716.42,49711.85,49900.0,49568.87
2021-02-24 06:35:00,49757.94,49704.5,49683.23,49661.0,49822.0,49600.0,49744.21,,49624.19,49612.94,49606.6,49546.73
2021-02-24 06:40:00,49864.78,49781.5,49892.01,49955.0,49855.81,49854.0,49956.63,49923.2,49785.2,49870.24,49971.5,49822.0
2021-02-24 06:45:00,50248.55,50237.0,50204.83,50231.75,50370.8,50166.0,50377.8,50018.9,50151.0,50171.71,50010.7,50287.0
2021-02-24 06:50:00,50176.08,49991.0,49991.98,50006.5,50030.07,49908.0,50150.0,50018.9,50003.11,49937.32,50100.0,49979.8
2021-02-24 06:55:00,50110.85,50069.0,50039.09,50033.75,50049.77,49869.0,49992.84,,50051.13,50048.71,50087.9,50092.0
2021-02-24 07:00:00,50159.28,50044.0,49976.9,50079.5,50206.4,49873.0,50018.08,,50060.98,50140.11,50110.1,50098.67
2021-02-24 07:05:00,49745.57,50009.5,49748.61,49795.5,49804.08,50001.0,49859.53,,49868.01,49966.76,49899.1,49840.94
2021-02-24 07:10:00,49812.88,49823.0,49768.33,49590.75,49784.15,49713.0,49587.75,,49783.48,49769.5,49599.9,49786.25
2021-02-24 07:15:00,49784.31,49694.5,49621.11,49660.5,49632.57,49600.0,49589.21,49680.1,49557.0,49695.03,49800.0,49791.47
2021-02-24 07:20:00,49862.45,49982.0,49996.72,50027.75,49789.84,49840.0,50019.55,,49925.63,49937.22,50048.1,49936.0
2021-02-24 07:25:00,49673.05,49725.0,49852.1,49949.5,49696.36,49626.0,49916.12,,49889.82,49799.98,49610.2,49706.5
2021-02-24 07:30:00,49967.16,50068.5,49900.31,50011.5,49950.69,49920.0,49926.77,,49904.38,49843.63,50008.1,49823.36
2021-02-24 07:35:00,50135.77,50204.5,50050.0,49953.0,50227.12,50090.0,50071.86,,49861.83,50100.0,50092.2,50118.5
2021-02-24 07:40:00,50075.34,50170.0,50152.22,50084.5,50148.05,50063.0,50060.84,,50085.03,50125.41,50157.0,50063.0
2021-02-24 07:45:00,50205.92,50131.0,50058.79,50137.75,50199.66,50043.0,50239.03,,50050.71,50076.32,50074.0,50206.17
