timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,cbse_vwap,sigma,cbse_vwmp (lower)
2021-02-24 09:50:00,0.05,50977.5,51074.54,50888.2,50905.98,41.14,2095713.6645820797,50938.38,37.89,50924.34
2021-02-24 09:55:00,0.03,50908.69,50928.92,50875.38,50900.68,22.34,1137109.5566229792,50902.74,9.43,50907.53
2021-02-24 10:00:00,0.04,50904.97,51055.38,50891.11,50894.05,30.8,1569339.6068805377,50956.62,41.01,50917.0
2021-02-24 10:05:00,0.05,50891.11,51016.48,50721.66,50981.9,64.57,3286345.2317444417,50892.1,77.02,50885.56
2021-02-24 10:10:00,0.04,50981.9,50981.9,50611.35,50664.21,25.34,1286155.7411612626,50761.43,95.3,50897.52
2021-02-24 10:15:00,0.05,50664.22,50674.01,50352.36,50549.05,84.01,4239357.633098066,50464.04,75.94,50397.18
2021-02-24 10:20:00,0.06,50541.86,50792.58,50234.57,50239.12,131.27,6630615.374917834,50510.09,138.13,50510.77
2021-02-24 10:25:00,0.07,50239.13,50556.76,50172.36,50448.15,109.77,5537830.579002729,50449.77,93.09,50450.21
2021-02-24 10:30:00,0.05,50458.24,50644.65,50448.78,50526.86,45.89,2321235.060311721,50578.79,40.96,50621.6
2021-02-24 10:35:00,0.05,50526.08,50527.26,50264.82,50353.43,60.6,3051480.8762895595,50355.13,51.8,50299.69
2021-02-24 10:40:00,0.04,50353.43,50581.7,50353.43,50575.77,42.75,2158750.6932095843,50498.76,60.53,50536.2
2021-02-24 10:45:00,0.04,50576.45,50633.57,50500.0,50566.27,57.14,2888304.5666851336,50548.36,29.45,50526.66
2021-02-24 10:50:00,0.05,50551.38,50607.19,50349.91,50407.68,43.48,2195672.8434927077,50502.52,66.26,50538.91
2021-02-24 10:55:00,0.06,50404.48,50460.16,50110.0,50134.22,83.85,4216647.563658552,50287.31,102.32,50300.0
2021-02-24 11:00:00,0.05,50129.71,50525.28,50129.7,50453.6,52.64,2650257.922531222,50349.07,92.64,50234.97
2021-02-24 11:05:00,0.05,50472.83,50637.36,50431.54,50530.32,40.87,2064849.694190521,50528.25,41.17,50552.39
2021-02-24 11:10:00,0.04,50526.66,50599.0,50409.97,50443.75,48.13,2431666.2370733647,50518.23,48.55,50497.31
2021-02-24 11:15:00,0.05,50430.58,50491.47,50281.19,50341.61,53.0,2670511.8234475367,50391.11,46.93,50411.87
2021-02-24 11:20:00,0.06,50358.18,50898.44,50343.01,50861.17,50.85,2570187.3417132846,50540.5,180.25,50450.17
2021-02-24 11:25:00,0.04,50854.24,50939.86,50750.0,50777.86,34.12,1733739.6502014943,50808.43,42.78,50753.64
2021-02-24 11:30:00,0.04,50777.86,50893.21,50675.51,50697.49,32.23,1636078.9919028655,50759.21,56.02,50807.14
2021-02-24 11:35:00,0.05,50697.49,50767.11,50618.93,50625.91,47.86,2425812.687062778,50683.09,35.3,50671.95
2021-02-24 11:40:00,0.06,50625.91,50691.8,50370.82,50390.97,56.98,2878698.244484825,50525.06,92.15,50625.59
2021-02-24 11:45:00,0.04,50395.25,50490.16,50323.54,50386.39,38.36,1933461.2641765282,50405.59,40.94,50382.32
2021-02-24 11:50:00,0.06,50386.38,50414.69,50222.22,50328.88,59.55,2997188.950920006,50328.21,36.46,50268.29
2021-02-24 11:55:00,0.04,50328.87,50395.0,50317.58,50380.0,47.27,2380607.5138976234,50363.28,17.79,50365.0
2021-02-24 12:00:00,0.06,50379.99,50646.09,50373.62,50603.66,66.5,3359032.845850312,50508.78,73.99,50494.93
2021-02-24 12:05:00,0.07,50603.66,50773.92,50501.0,50534.86,79.84,4042201.573227786,50629.93,73.83,50756.6
2021-02-24 12:10:00,0.06,50557.5,50877.05,50368.45,50851.89,47.59,2408019.7601465634,50600.58,142.29,50517.32
2021-02-24 12:15:00,0.06,50846.8,50950.25,50752.62,50768.53,59.55,3028349.344073174,50851.57,51.58,50858.07
2021-02-24 12:20:00,0.07,50768.54,51140.15,50516.28,51127.27,81.62,4162246.7450983613,50993.4,119.5,51120.0
2021-02-24 12:25:00,0.08,51129.79,51216.87,50858.14,51143.17,140.97,7200105.485749106,51075.83,67.68,51150.0
2021-02-24 12:30:00,0.08,51162.91,51279.84,51039.0,51271.69,96.62,4942922.486539652,51157.73,54.36,51170.3
2021-02-24 12:35:00,0.08,51279.51,51332.84,51071.15,51195.26,115.92,5935485.703821228,51203.06,51.99,51250.48
2021-02-24 12:40:00,0.08,51195.26,51199.31,50900.84,50906.76,131.87,6734022.332006099,51065.72,90.17,51116.75
2021-02-24 12:45:00,0.07,50903.01,51084.45,50897.3,51032.74,113.68,5794469.039716788,50971.38,58.07,50937.6
2021-02-24 12:50:00,0.07,51032.74,51043.78,50807.4,50849.99,79.81,4063895.0473215897,50921.0,67.21,51006.07
2021-02-24 12:55:00,0.09,50849.99,50850.0,50635.86,50738.3,135.16,6861520.9860134125,50765.0,55.54,50708.44
2021-02-24 13:00:00,0.07,50738.3,51123.31,50733.36,50972.5,92.33,4705853.680894163,50968.01,99.14,50840.26
2021-02-24 13:05:00,0.11,50972.5,50977.27,50514.93,50580.83,205.1,10383181.80064555,50623.86,87.62,50695.25
2021-02-24 13:10:00,0.08,50573.27,50724.67,50395.21,50441.83,125.76,6357298.865251276,50549.08,77.21,50537.54
2021-02-24 13:15:00,0.17,50440.0,50449.06,49522.74,49565.85,367.16,18320745.045378994,49898.28,182.28,49855.85
2021-02-24 13:20:00,0.12,49566.4,49969.69,49474.58,49834.71,214.85,10686438.551508164,49739.62,138.74,49500.0
2021-02-24 13:25:00,0.1,49839.01,49969.69,49559.08,49616.95,173.82,8666154.251626104,49857.05,99.93,49962.2
2021-02-24 13:30:00,0.17,49780.06,49790.68,49000.0,49154.78,391.55,19304882.299692903,49304.31,194.62,49301.7
2021-02-24 13:35:00,0.12,49141.86,49529.06,49123.6,49264.33,144.78,7142698.855600457,49336.11,91.4,49322.86
2021-02-24 13:40:00,0.09,49258.55,49547.85,49257.69,49499.58,136.16,6733750.83953585,49454.09,58.87,49352.12
2021-02-24 13:45:00,0.11,49492.84,49867.0,49302.92,49745.18,155.63,7714396.160181555,49568.97,167.58,49720.0
2021-02-24 13:50:00,0.07,49745.19,49782.85,49534.37,49644.95,78.49,3897152.467177801,49652.09,71.25,49569.2
2021-02-24 13:55:00,0.07,49652.88,49652.88,49371.9,49479.41,73.24,3623845.6668286207,49480.75,50.62,49461.2
2021-02-24 14:00:00,0.08,49479.41,49804.39,49479.4,49776.92,78.7,3908227.236790773,49658.03,70.03,49513.62
2021-02-24 14:05:00,0.09,49775.0,49788.29,49288.0,49365.97,86.49,4284337.556323468,49538.2,147.09,49371.13
2021-02-24 14:10:00,0.1,49354.82,49461.7,49150.0,49434.83,102.17,5035997.190002932,49290.94,70.36,49307.94
2021-02-24 14:15:00,0.09,49434.83,49659.09,49287.49,49649.32,94.83,4691300.457916654,49470.6,94.61,49437.07
2021-02-24 14:20:00,0.07,49649.32,49649.32,49383.58,49419.89,96.73,4791810.273983711,49539.15,59.96,49561.06
2021-02-24 14:25:00,0.07,49419.88,49544.99,49334.42,49492.97,84.26,4167699.0908384947,49465.14,43.8,49420.73
