timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,lmax_vwap,sigma,lmax_vwmp (lower)
2021-02-24 01:15:00,0.0,48758.5,49073.0,48758.5,49073.0,8.81,430559.81000999996,48871.72,61.67,48862.5
2021-02-24 01:20:00,0.0,49075.0,49220.5,48891.501,49220.5,15.07,740781.6974899999,49156.05,98.62,49021.0
2021-02-24 01:25:00,0.0,49172.5,49378.5,49146.0,49192.0,18.22,896765.80987,49218.76,59.27,49160.5
2021-02-24 01:30:00,0.0,49209.5,49209.5,48753.5,49027.0,23.85,1167717.11003,48960.89,124.36,49209.5
2021-02-24 01:35:00,0.0,48980.75,49280.0,48948.0,49275.5,7.32,359038.81259,49049.02,101.75,48997.5
2021-02-24 01:40:00,0.0,49353.0,49883.5,49353.0,49718.5,55.54,2762019.27006,49730.27,134.96,49754.0
2021-02-24 01:45:00,0.0,49674.5,49951.5,49659.0,49761.5,16.99,846021.65839,49795.27,63.4,49951.5
2021-02-24 01:50:00,0.01,49787.5,49803.0,49517.5,49775.5,50.56,2512250.1975,49688.49,69.03,49784.5
2021-02-24 01:55:00,0.01,49767.0,50240.88,49634.5,50160.5,35.08,1752848.33837,49967.17,153.37,50012.5
2021-02-24 02:00:00,0.01,50181.0,50533.93,49839.5,50533.93,66.34,3331880.13728,50224.3,223.71,50269.0
2021-02-24 02:05:00,0.01,50569.0,50569.5,50213.0,50315.5,52.16,2629825.5996,50418.44,88.42,50315.5
2021-02-24 02:10:00,0.0,50337.0,50340.5,49989.0,50322.5,17.92,899801.9273,50212.16,100.7,50013.5
2021-02-24 02:15:00,0.0,50322.0,50322.0,49894.5,50090.5,20.27,1015009.2341,50074.46,100.17,50045.5
2021-02-24 02:20:00,0.0,50123.5,50130.0,49799.5,49874.5,20.19,1007801.6675,49915.88,97.41,50016.5
2021-02-24 02:25:00,0.0,49882.5,50164.5,49882.5,50018.0,47.86,2392848.98555,49996.84,64.14,49956.5
2021-02-24 02:30:00,0.0,50120.0,50335.0,50064.0,50216.5,25.36,1272053.145,50159.82,76.07,50179.0
2021-02-24 02:35:00,0.0,50314.5,50485.0,50281.5,50349.5,23.87,1202989.82,50397.56,44.53,50361.5
2021-02-24 02:40:00,0.01,50344.5,50359.5,50033.0,50087.5,53.03,2663644.675,50229.02,96.43,50252.0
2021-02-24 02:45:00,0.01,50111.5,50430.5,50111.5,50325.5,45.86,2308607.4725,50340.33,51.61,50338.5
2021-02-24 02:50:00,0.0,50312.0,50431.45,50224.0,50346.0,25.4,1278292.7495,50326.49,43.68,50282.5
2021-02-24 02:55:00,0.0,50378.5,50385.0,50175.0,50191.5,19.92,1001528.1175,50277.52,61.7,50223.5
2021-02-24 03:00:00,0.0,50171.0,50470.0,50073.75,50394.0,17.15,863172.1925,50330.74,108.49,50418.0
2021-02-24 03:05:00,0.01,50433.5,50541.5,50296.0,50334.5,30.4,1534545.1199999999,50478.46,64.13,50368.0
2021-02-24 03:10:00,0.0,50315.0,50495.5,50279.0,50410.5,21.09,1062664.8625,50387.14,53.41,50410.5
2021-02-24 03:15:00,0.0,50396.5,50490.0,50279.0,50442.5,26.9,1354784.605,50363.74,42.24,50368.5
2021-02-24 03:20:00,0.0,50490.0,50490.0,50267.0,50274.5,18.35,923791.5967,50342.87,43.85,50408.0
2021-02-24 03:25:00,0.0,50266.5,50325.0,50219.0,50276.5,25.79,1296746.12,50280.97,23.66,50270.5
2021-02-24 03:30:00,0.0,50254.0,50343.5,50238.5,50343.5,21.15,1063198.2891,50269.42,23.96,50282.5
2021-02-24 03:35:00,0.0,50382.0,50546.5,50317.0,50546.5,25.41,1280695.1112,50401.22,47.51,50384.5
2021-02-24 03:40:00,0.0,50534.0,50561.5,50382.5,50472.0,13.5,681213.845,50460.28,49.9,50428.5
2021-02-24 03:45:00,0.01,50461.5,50678.5,50341.5,50678.5,64.74,3263989.3835,50416.89,79.03,50388.5
