timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,krkn_vwap,sigma,krkn_vwmp (lower)
2021-02-24 02:25:00,0.02,49861.0,50159.7,49836.7,50035.1,42.53,2126108.2221525162,49996.36,85.91,49961.3
2021-02-24 02:30:00,0.01,50037.3,50332.5,50037.3,50225.1,26.54,1332758.744594844,50221.63,84.81,50304.4
2021-02-24 02:35:00,0.01,50226.5,50475.0,50226.5,50351.3,26.91,1356323.518614604,50393.05,53.1,50459.8
2021-02-24 02:40:00,0.01,50329.1,50342.4,50051.5,50108.1,24.49,1228609.994478159,50161.47,91.94,50099.9
2021-02-24 02:45:00,0.01,50096.5,50422.9,50093.2,50269.8,17.93,901705.157919428,50293.88,92.12,50200.0
2021-02-24 02:50:00,0.01,50298.4,50400.0,50248.8,50334.3,25.47,1281929.782320813,50330.54,30.8,50327.4
2021-02-24 02:55:00,0.01,50350.0,50380.0,50202.2,50202.2,10.36,521044.395263403,50292.4,57.75,50380.0
2021-02-24 03:00:00,0.01,50202.2,50442.8,50074.9,50433.1,15.46,777368.904233152,50291.93,113.7,50295.9
2021-02-24 03:05:00,0.01,50442.7,50539.9,50300.0,50300.0,37.45,1890744.3012802291,50481.98,59.03,50520.4
2021-02-24 03:10:00,0.01,50351.4,50490.2,50300.0,50426.9,21.49,1082891.341683653,50401.93,57.12,50426.9
2021-02-24 03:15:00,0.01,50430.8,50500.0,50243.9,50499.9,31.74,1598125.615581546,50347.27,55.37,50299.9
2021-02-24 03:20:00,0.01,50458.5,50458.5,50271.2,50288.0,8.86,446297.984719078,50350.89,34.07,50359.3
2021-02-24 03:25:00,0.01,50282.3,50340.6,50237.8,50268.2,17.05,857495.95136444,50282.72,19.84,50337.2
2021-02-24 03:30:00,0.01,50268.2,50373.6,50259.4,50373.6,15.13,760732.327243546,50285.14,18.19,50277.3
2021-02-24 03:35:00,0.01,50383.4,50542.4,50347.9,50533.9,14.73,742470.975054974,50402.78,49.85,50387.0
2021-02-24 03:40:00,0.01,50542.3,50549.4,50356.0,50484.4,20.97,1059113.427256084,50494.7,51.39,50416.1
2021-02-24 03:45:00,0.02,50450.0,50754.0,50307.6,50742.3,34.65,1750512.705462566,50525.69,135.3,50679.8
2021-02-24 03:50:00,0.02,50733.9,50907.0,50733.9,50812.9,39.2,1992385.599600554,50827.74,43.77,50855.4
2021-02-24 03:55:00,0.02,50816.8,51000.0,50816.8,50928.4,41.09,2093040.8475598071,50937.15,47.29,50990.0
2021-02-24 04:00:00,0.02,50922.2,51118.0,50922.2,51033.8,40.08,2045936.067446093,51047.68,47.01,51014.8
2021-02-24 04:05:00,0.02,51033.9,51250.0,51033.9,51214.0,26.61,1362409.854037679,51191.72,50.55,51162.4
2021-02-24 04:10:00,0.02,51214.1,51310.0,51179.9,51306.8,34.93,1790160.937102629,51246.54,37.29,51280.0
2021-02-24 04:15:00,0.03,51310.0,51392.0,50931.0,50993.6,69.26,3541923.1349147703,51142.43,137.53,51291.0
2021-02-24 04:20:00,0.01,50993.7,51131.2,50862.7,51039.4,26.09,1329703.558793447,50960.36,61.61,51000.0
2021-02-24 04:25:00,0.01,51048.2,51078.6,50715.7,50722.0,25.74,1309218.471667818,50869.65,111.81,50800.0
2021-02-24 04:30:00,0.01,50714.9,50868.1,50673.4,50792.8,27.45,1393101.607969417,50752.11,42.26,50794.6
2021-02-24 04:35:00,0.01,50770.2,50826.7,50616.2,50649.2,25.34,1284015.593759954,50662.27,56.68,50623.7
2021-02-24 04:40:00,0.02,50619.7,50624.1,50342.2,50385.7,45.04,2275157.724308083,50515.47,75.82,50423.1
2021-02-24 04:45:00,0.01,50365.4,50687.2,50365.4,50655.6,12.73,643618.03673652,50556.47,86.88,50500.0
2021-02-24 04:50:00,0.01,50692.0,50940.9,50686.5,50896.5,37.61,1912827.609217705,50859.15,65.17,50905.7
2021-02-24 04:55:00,0.01,50899.9,50899.9,50610.3,50635.3,24.81,1259393.756406033,50766.67,56.58,50845.8
2021-02-24 05:00:00,0.01,50647.5,50920.5,50647.5,50900.0,10.51,534246.749420777,50840.51,65.2,50900.2
2021-02-24 05:05:00,0.01,50900.1,51058.4,50875.8,50955.6,16.31,831809.584034116,50988.81,49.82,51031.7
2021-02-24 05:10:00,0.01,50946.1,50946.1,50672.0,50672.1,10.75,546578.572841375,50829.57,85.3,50696.3
2021-02-24 05:15:00,0.01,50672.1,50672.1,50225.0,50261.9,31.06,1565277.74592653,50397.53,118.56,50413.4
2021-02-24 05:20:00,0.02,50240.9,50398.8,50022.5,50100.8,32.12,1612178.594136864,50191.57,100.04,50080.8
2021-02-24 05:25:00,0.02,50161.0,50413.8,50074.7,50406.6,27.75,1392396.876658887,50182.95,90.82,50168.1
2021-02-24 05:30:00,0.01,50400.3,50400.4,50225.0,50313.4,20.19,1015851.952332928,50316.81,55.22,50280.3
2021-02-24 05:35:00,0.01,50313.4,50533.6,50280.8,50499.9,6.91,348747.159716074,50435.77,76.64,50499.9
2021-02-24 05:40:00,0.01,50499.9,50537.2,50303.0,50436.6,9.97,502534.620600874,50390.62,60.42,50383.6
2021-02-24 05:45:00,0.01,50417.2,50540.1,50300.0,50300.1,15.04,758121.245949478,50402.54,72.42,50528.3
2021-02-24 05:50:00,0.01,50300.1,50488.6,50267.6,50356.8,18.98,956878.991819903,50404.26,55.44,50420.3
2021-02-24 05:55:00,0.0,50354.3,50441.8,50202.5,50204.8,4.71,237135.249386779,50327.05,66.91,50204.8
2021-02-24 06:00:00,0.01,50235.4,50581.9,50235.4,50555.9,19.31,974790.800608631,50468.41,87.43,50487.8
2021-02-24 06:05:00,0.01,50555.9,50704.3,50449.6,50505.0,31.62,1598190.686784145,50548.94,63.75,50511.3
2021-02-24 06:10:00,0.04,50513.9,50575.6,49608.0,49757.6,83.15,4150608.621358558,49917.49,226.3,49749.6
2021-02-24 06:15:00,0.03,49735.1,49923.9,49410.6,49706.5,114.06,5663428.244958288,49655.19,129.69,49730.7
2021-02-24 06:20:00,0.01,49706.5,50115.2,49578.2,50100.0,25.34,1263776.7229463519,49867.71,167.12,50068.8
2021-02-24 06:25:00,0.01,50104.4,50104.4,49608.7,49633.0,14.25,711113.840651714,49900.12,139.62,49661.1
2021-02-24 06:30:00,0.02,49647.4,49925.2,49610.7,49800.0,50.4,2509207.045630552,49786.11,81.32,49900.0
2021-02-24 06:35:00,0.01,49800.0,49890.1,49583.7,49864.0,19.54,971851.898744654,49725.79,80.77,49606.6
2021-02-24 06:40:00,0.01,49856.6,50057.7,49766.2,50057.7,33.67,1679102.017495342,49862.92,70.7,49971.5
2021-02-24 06:45:00,0.01,50052.6,50386.2,49998.3,50227.3,28.08,1408932.410044891,50172.3,105.25,50010.7
2021-02-24 06:50:00,0.01,50238.4,50238.4,49943.6,49961.3,17.55,878133.146703157,50040.9,74.93,50100.0
2021-02-24 06:55:00,0.01,49953.5,50148.2,49947.1,50110.2,21.52,1077315.79520147,50060.21,48.96,50087.9
2021-02-24 07:00:00,0.01,50110.2,50176.1,49961.1,50023.0,7.75,387656.511246698,50045.71,58.64,50110.1
2021-02-24 07:05:00,0.01,50023.1,50099.4,49755.6,49829.2,26.44,1320057.04123496,49917.69,90.88,49899.1
2021-02-24 07:10:00,0.01,49829.1,49854.4,49548.5,49559.6,12.87,639530.69968472,49681.57,72.45,49599.9
