timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,okcn_vwap,sigma,okcn_vwmp (lower)
2021-02-24 17:30:00,0.01,49756.84,50096.73,49664.32,50096.73,11.68,582087.335241,49834.54,99.83,49689.75
2021-02-24 18:00:00,0.01,50118.14,50171.79,49569.8,49702.31,10.46,521185.870955,49810.37,161.58,49847.0
2021-02-24 18:30:00,0.01,49717.85,50016.17,49614.19,49622.72,9.26,461203.43277,49783.41,114.89,49643.11
2021-02-24 19:00:00,0.01,49630.99,49719.18,49392.72,49457.47,16.41,812597.248042,49508.76,77.26,49579.09
2021-02-24 19:30:00,0.01,49446.33,49475.25,48883.68,49003.83,14.39,707397.6555229999,49154.19,117.39,49332.01
2021-02-24 20:00:00,0.01,49006.93,49265.31,48790.24,48911.77,11.72,572943.388016,48875.53,132.93,48800.0
2021-02-24 20:30:00,0.01,48869.01,49206.6,48614.98,49195.04,6.59,321849.556791,48807.98,142.04,48744.26
2021-02-24 21:00:00,0.01,49104.75,49193.77,48198.75,48225.14,11.04,535426.547165,48495.27,300.7,48224.21
2021-02-24 21:30:00,0.01,48189.34,48882.33,48170.42,48798.62,8.45,408836.752711,48394.5,157.3,48443.25
2021-02-24 22:00:00,0.01,48737.81,48737.81,48082.02,48703.53,9.4,455502.999999,48433.03,173.36,48479.61
2021-02-24 22:30:00,0.01,48714.16,48999.82,48502.15,48894.64,5.26,256523.28458,48740.89,92.49,48794.03
2021-02-24 23:00:00,0.01,48801.95,49549.5,48772.51,49279.29,7.22,355809.290242,49304.28,153.52,49428.65
2021-02-24 23:30:00,0.01,49399.58,49786.94,49370.23,49724.93,20.98,1041705.426115,49659.88,84.52,49681.15
