timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,btrx_vwap,sigma,btrx_vwmp (upper)
2021-02-24 08:30:00,0.03,50686.149,50902.55,50346.138,50679.16,16.98,861133.9881720049,50700.93,116.58,50700.0
2021-02-24 09:00:00,0.03,50699.12,51000.98,50356.99,50805.27,16.08,815628.5152649422,50712.67,178.8,50977.0
2021-02-24 09:30:00,0.05,50805.27,51408.635,50805.27,50980.189,19.02,972804.4137642574,51146.12,151.99,51237.74
2021-02-24 10:00:00,0.03,50981.64,51088.359,50232.81,50488.789,14.77,750147.1550043173,50772.43,229.48,50946.63
2021-02-24 10:30:00,0.02,50487.459,50659.15,50142.85,50159.45,5.63,283803.1033180172,50384.63,139.47,50642.04
2021-02-24 11:00:00,0.02,50128.489,50914.526,50128.489,50781.336,7.9,399631.8301451616,50612.42,192.81,50837.75
2021-02-24 11:30:00,0.02,50781.336,50860.69,50266.467,50401.6,10.86,548374.2264835263,50515.68,178.16,50720.39
2021-02-24 12:00:00,0.03,50397.3,51200.0,50391.132,51157.911,11.96,607873.1408424674,50814.33,227.6,51111.62
2021-02-24 12:30:00,0.02,51154.239,51300.0,50678.579,50774.399,11.65,594133.5023220229,51003.65,163.86,51180.45
2021-02-24 13:00:00,0.06,50761.77,51089.154,49520.0,49660.001,45.63,2281297.237623123,49994.32,438.4,50761.77
2021-02-24 13:30:00,0.04,49660.001,49878.08,49093.667,49514.992,17.72,875899.6392275862,49441.59,174.25,49451.22
2021-02-24 14:00:00,0.03,49511.505,49804.57,49187.039,49483.987,14.66,725326.547817325,49487.38,167.62,49550.72
2021-02-24 14:30:00,0.04,49529.673,49713.864,48767.13,49473.137,21.36,1050577.1922374333,49191.52,211.42,49067.8
2021-02-24 15:00:00,0.04,49445.43,49670.727,48518.63,49199.9,16.49,809127.3872933008,49079.53,303.98,49535.88
2021-02-24 15:30:00,0.02,49180.0,49877.059,49056.206,49877.058,20.79,1027977.2567409436,49439.95,198.32,49745.76
2021-02-24 16:00:00,0.02,49860.121,50149.734,49468.013,49527.94,19.02,948380.8441933057,49867.25,178.79,49745.76
2021-02-24 16:30:00,0.02,49518.658,49860.092,49360.01,49360.01,10.09,501186.95615438925,49690.33,111.03,49651.87
2021-02-24 17:00:00,0.02,49435.14,49999.999,49380.08,49740.236,8.07,401736.12953256257,49777.0,146.02,49689.67
2021-02-24 17:30:00,0.01,49759.471,50063.895,49658.834,50050.175,9.58,476914.4297746469,49794.28,88.03,49750.54
2021-02-24 18:00:00,0.02,50071.68,50071.68,49567.227,49699.052,13.21,657634.9998920959,49790.23,135.9,49599.05
2021-02-24 18:30:00,0.02,49698.88,50006.019,49579.819,49585.974,7.8,388369.82634483126,49810.47,98.69,49788.24
2021-02-24 19:00:00,0.02,49605.0,49695.27,49363.67,49406.14,7.54,373693.87215284223,49531.23,85.84,49380.57
2021-02-24 19:30:00,0.02,49429.341,49431.61,48861.2,48984.14,10.19,499935.5634850265,49055.41,109.08,49000.0
2021-02-24 20:00:00,0.01,48950.8,49279.19,48750.0,48880.429,8.01,392665.0565255761,49006.67,140.5,49057.67
2021-02-24 20:30:00,0.02,48871.895,49241.809,48623.55,49184.99,8.04,392340.87453698897,48807.66,150.48,49067.8
2021-02-24 21:00:00,0.03,49122.005,49170.683,48186.037,48190.0,16.7,810573.2559642504,48532.51,258.36,48728.81
2021-02-24 21:30:00,0.03,48205.285,48942.999,48120.0,48787.489,16.65,806662.06293012,48440.14,190.17,48570.97
2021-02-24 22:00:00,0.01,48731.15,48763.325,48084.824,48689.71,8.51,412251.88451135915,48426.41,170.01,48389.83
2021-02-24 22:30:00,0.02,48698.25,48972.019,48496.086,48887.82,7.05,343769.07963672903,48735.47,113.59,48667.11
2021-02-24 23:00:00,0.02,48858.285,49535.879,48793.59,49343.388,16.53,815378.3464853005,49322.77,172.21,49067.8
2021-02-24 23:30:00,0.02,49421.976,49775.153,49413.485,49742.749,16.91,839523.8998562106,49649.99,81.69,49668.54
