timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,all_vwap,sigma,all_vwmp (upper)
2021-02-24 04:00:00,0.3,50929.46,51200.0,50900.0,51052.01,494.54,25240516.87938621,51037.95,52.16,51052.0
2021-02-24 04:05:00,0.25,51050.62,51285.34,50988.0,51222.13,415.74,21279393.357927054,51184.55,62.57,51244.0
2021-02-24 04:10:00,0.25,51253.2,51459.51,51129.0,51309.47,405.73,20797790.004928708,51260.35,44.65,51230.0
2021-02-24 04:15:00,0.32,51318.92,51409.0,50894.0,51021.41,499.55,25548997.115625523,51143.78,143.91,51000.0
2021-02-24 04:20:00,0.24,50985.0,51200.33,50814.87,51039.4,241.45,12307638.78505323,50973.71,79.63,50900.0
2021-02-24 04:25:00,0.25,51057.13,51121.722,50647.0,50701.0,307.33,15628348.073025672,50851.88,118.6,50764.0
2021-02-24 04:30:00,0.18,50721.08,50930.21,50647.0,50794.93,238.18,12095247.482654437,50781.24,53.59,50819.8
2021-02-24 04:35:00,0.21,50774.66,50886.28,50576.0,50653.42,221.67,11239529.480697598,50703.09,61.03,50736.8
2021-02-24 04:40:00,0.26,50641.17,50660.33,50328.0,50365.76,369.45,18652519.62123761,50486.98,79.65,50527.8
2021-02-24 04:45:00,0.15,50342.26,50729.91,50342.26,50718.47,251.34,12715951.22851785,50593.07,80.23,50380.0
2021-02-24 04:50:00,0.22,50718.956,51002.277,50665.5,50898.25,317.07,16130433.262426391,50873.43,67.68,50920.0
2021-02-24 04:55:00,0.19,50900.97,50960.267,50510.0,50650.86,240.47,12204245.75146323,50750.59,89.95,50811.0
2021-02-24 05:00:00,0.17,50611.0,50956.67,50611.0,50884.56,285.39,14507363.82561022,50833.3,63.3,50900.1
2021-02-24 05:05:00,0.18,50884.56,51064.836108,50861.0,50939.88,253.3,12904622.391606072,50945.6,45.31,50905.0
2021-02-24 05:10:00,0.17,50939.88,51000.0,50560.98,50631.0,223.45,11345724.354657058,50775.17,90.52,50860.9
2021-02-24 05:15:00,0.26,50632.18,50706.049,50189.0,50248.5,287.25,14481145.644900033,50412.45,121.69,50384.7
2021-02-24 05:20:00,0.29,50236.46,50450.25,49978.89,50107.75,426.61,21393728.280338254,50147.67,106.03,50261.19
2021-02-24 05:25:00,0.2,50107.75,50448.83,49941.0,50394.38,250.05,12547928.318167182,50181.61,107.61,50133.5
2021-02-24 05:30:00,0.17,50394.38,50416.47,50139.0,50319.9,182.51,9176854.917341916,50282.55,56.91,50252.3
2021-02-24 05:35:00,0.13,50314.61,50543.5,50229.0,50502.98,125.23,6315216.534324712,50428.47,78.28,50499.9
2021-02-24 05:40:00,0.16,50493.28,50554.59,50228.0,50427.5,176.61,8899280.411667218,50389.57,80.11,50500.0
2021-02-24 05:45:00,0.14,50393.29,50543.619,50228.49348594,50277.68,115.08,5799620.990681956,50394.94,77.8,50310.7
2021-02-24 05:50:00,0.13,50282.91,50505.34,50210.0,50356.8,153.77,7743546.354283898,50357.82,64.68,50375.7
2021-02-24 05:55:00,0.14,50346.15,50457.959,50124.0,50166.0,140.5,7066418.596707619,50296.38,81.35,50397.3
2021-02-24 06:00:00,0.17,50264.18,50605.98,50161.0,50554.119,191.67,9670063.492329217,50451.45,84.4,50499.9
