timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,stmp_vwap,sigma,stmp_vwmp (upper)
2021-02-24 05:25:00,0.01,50154.16,50416.56,50057.71,50396.77,17.35,870529.5144414442,50182.55,87.2,50166.04
2021-02-24 05:30:00,0.01,50379.76,50385.93,50200.67,50278.72,37.43,1882257.931589141,50286.43,40.86,50291.69
2021-02-24 05:35:00,0.01,50317.81,50539.0,50247.65,50504.46,21.89,1104121.925988524,50447.54,79.05,50280.47
2021-02-24 05:40:00,0.01,50493.28,50552.88,50276.79,50432.09,37.51,1890750.829586718,50406.6,68.63,50341.23
2021-02-24 05:45:00,0.01,50442.95,50539.0,50266.69,50293.71,25.08,1264252.0678320208,50405.06,76.99,50305.03
2021-02-24 05:50:00,0.01,50282.91,50488.95,50244.11,50375.81,20.53,1034600.1817465114,50388.03,65.05,50278.29
2021-02-24 05:55:00,0.01,50346.15,50453.71,50200.0,50245.64,19.14,963450.3746066702,50347.25,60.36,50378.28
2021-02-24 06:00:00,0.01,50264.18,50590.09,50223.01,50560.59,22.14,1116679.243839575,50438.0,87.46,50476.08
2021-02-24 06:05:00,0.01,50516.93,50710.31,50429.33,50482.42,16.44,830516.6778349222,50508.7,71.85,50626.33
2021-02-24 06:10:00,0.02,50497.89,50571.79,49600.0,49738.4,51.68,2581822.9196298453,49957.09,238.8,49844.98
2021-02-24 06:15:00,0.02,49680.77,49954.83,49443.41,49719.0,81.05,4030435.335706321,49729.23,133.6,49588.76
2021-02-24 06:20:00,0.01,49732.2,50139.0,49584.61,50127.0,27.55,1375255.0182895737,49909.57,158.52,50101.17
2021-02-24 06:25:00,0.01,50101.89,50106.94,49628.23,49687.12,28.44,1419713.2488044417,49925.54,127.06,50000.0
2021-02-24 06:30:00,0.01,49673.99,49951.94,49617.51,49826.75,55.32,2753731.3640981885,49781.0,80.92,49911.17
2021-02-24 06:35:00,0.01,49813.51,49906.52,49575.0,49876.14,23.77,1182373.7524627189,49739.56,78.96,49712.86
2021-02-24 06:40:00,0.01,49864.78,50045.44,49748.36,50045.44,11.69,583556.2194902292,49931.46,71.66,49957.04
2021-02-24 06:45:00,0.01,50058.52,50406.83,50007.59,50192.22,25.35,1273717.430627082,50251.46,101.53,50251.7
2021-02-24 06:50:00,0.01,50238.85,50239.16,49927.07,49998.27,12.79,640282.5575605943,50042.36,72.98,50027.7
2021-02-24 06:55:00,0.01,49954.01,50147.02,49954.01,50109.14,10.43,522328.8849135517,50078.86,49.68,49994.92
2021-02-24 07:00:00,0.01,50095.36,50173.64,49940.0,50000.0,15.89,795776.720875913,50080.9,60.29,50155.81
2021-02-24 07:05:00,0.01,50022.41,50084.83,49726.47,49838.41,18.79,937750.635889785,49896.67,97.19,49821.92
2021-02-24 07:10:00,0.01,49806.43,49858.56,49559.06,49559.06,17.7,880356.8072622982,49739.08,84.75,49766.7
2021-02-24 07:15:00,0.01,49539.4,49854.11,49531.41,49717.12,22.52,1119362.2693895593,49694.55,82.21,49754.41
2021-02-24 07:20:00,0.0,49711.78,50046.79,49711.78,49987.28,8.37,417638.934756731,49899.85,89.56,49843.66
2021-02-24 07:25:00,0.01,49997.75,50004.09,49637.44,49702.15,13.93,693966.0142897178,49803.24,104.05,49759.4
2021-02-24 07:30:00,0.01,49712.25,50077.0,49712.25,49983.09,19.99,998225.1929503992,49934.22,78.86,50016.98
2021-02-24 07:35:00,0.01,49980.1,50231.88,49926.33,50138.94,11.48,574822.4905962448,50075.82,87.64,49949.4
2021-02-24 07:40:00,0.0,50112.72,50164.26,50015.08,50093.78,11.07,554483.43009972,50090.19,34.97,50103.5
2021-02-24 07:45:00,0.01,50079.9,50249.31,49962.87,50200.0,18.09,906606.0625452943,50113.89,75.42,50100.13
2021-02-24 07:50:00,0.01,50169.62,50350.29,50090.0,50144.95,18.99,953938.7098477905,50231.12,75.59,50112.64
2021-02-24 07:55:00,0.01,50127.08,50200.0,50060.64,50060.64,24.58,1232581.7583508636,50144.11,36.18,50100.34
2021-02-24 08:00:00,0.01,50100.0,50239.0,49812.0,50239.0,52.44,2625374.745777234,50061.87,100.14,50100.0
2021-02-24 08:05:00,0.01,50211.66,50499.99,50115.79,50470.3,22.71,1142417.9860568137,50299.92,87.5,50290.34
2021-02-24 08:10:00,0.01,50440.0,50530.67,50354.74,50517.85,30.16,1521502.0255874202,50444.2,44.28,50413.4
2021-02-24 08:15:00,0.02,50514.91,50910.53,50499.59,50792.04,65.95,3343214.683551676,50695.48,120.23,50832.06
2021-02-24 08:20:00,0.01,50773.21,50795.44,50575.84,50706.17,56.37,2857897.946743918,50695.44,43.28,50605.05
2021-02-24 08:25:00,0.01,50689.42,50735.08,50556.08,50633.95,25.89,1311340.3319164724,50647.91,44.9,50681.56
2021-02-24 08:30:00,0.02,50643.59,51089.72,50643.59,50711.39,92.56,4706893.545965824,50850.18,89.76,50742.0
2021-02-24 08:35:00,0.01,50715.69,50875.97,50643.08,50725.97,37.28,1891671.5374260168,50744.35,48.8,50763.77
2021-02-24 08:40:00,0.01,50752.35,50765.14,50400.0,50448.05,51.12,2586419.094954659,50594.82,85.31,50451.65
2021-02-24 08:45:00,0.02,50442.91,50623.2,50340.01,50480.4,68.21,3444388.0628741826,50493.41,52.36,50437.67
2021-02-24 08:50:00,0.01,50492.94,50732.1,50490.9,50683.12,27.94,1413826.9124042876,50595.09,64.56,50699.87
2021-02-24 08:55:00,0.01,50684.58,50762.41,50616.15,50700.14,27.76,1407413.1048591703,50701.69,35.97,50718.21
2021-02-24 09:00:00,0.01,50659.75,50689.58,50464.2,50501.7,43.53,2202207.7390716104,50593.12,69.31,50490.59
2021-02-24 09:05:00,0.01,50493.5,50643.07,50400.1,50488.79,36.37,1838259.3923357732,50547.59,44.53,50519.82
2021-02-24 09:10:00,0.01,50472.26,50619.76,50387.22,50619.76,23.39,1181650.8124866495,50519.35,60.95,50550.46
2021-02-24 09:15:00,0.02,50600.89,50979.99,50600.89,50963.44,53.43,2715477.065830258,50820.9,104.84,50688.85
2021-02-24 09:20:00,0.02,50924.59,51020.66,50776.02,50814.95,81.86,4167581.069387615,50910.32,53.18,50978.76
2021-02-24 09:25:00,0.01,50782.43,50908.87,50713.5,50810.51,41.67,2118312.043633798,50829.95,38.5,50794.09
2021-02-24 09:30:00,0.01,50797.05,51019.84,50797.05,50856.48,43.7,2225997.9398979987,50940.28,49.93,50825.05
2021-02-24 09:35:00,0.01,50856.48,51252.23,50821.9,51252.23,25.73,1314428.5501687392,51077.13,117.75,51047.18
2021-02-24 09:40:00,0.02,51252.23,51443.47,51122.38,51326.23,66.28,3399493.5204053493,51288.13,77.17,51143.66
2021-02-24 09:45:00,0.01,51334.17,51342.46,50987.0,51005.03,35.88,1835940.6779029511,51171.01,80.26,51110.24
2021-02-24 09:50:00,0.01,50987.39,51077.94,50897.03,50909.74,18.2,927306.4270985726,50946.6,32.62,50963.48
2021-02-24 09:55:00,0.01,50935.97,50953.21,50858.77,50889.26,13.77,701150.5529724496,50905.25,16.54,50900.98
2021-02-24 10:00:00,0.01,50923.48,51051.0,50895.03,50903.56,31.59,1610352.7150715373,50969.07,38.11,50911.14
2021-02-24 10:05:00,0.01,50897.91,51039.8,50722.63,50992.6,35.04,1783552.05513747,50901.26,71.57,50927.78
2021-02-24 10:10:00,0.01,50993.08,50993.08,50602.01,50676.51,29.97,1522987.1498244712,50814.15,107.29,50914.36
