timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,okcn_vwap,sigma,okcn_vwmp (upper)
2021-02-24 06:40:00,0.0,49875.79,50051.65,49753.24,50051.65,3.07,152970.865927,49895.91,88.84,49993.37
2021-02-24 06:45:00,0.0,50034.55,50423.11,50034.55,50217.08,1.98,99544.877907,50254.89,89.94,50173.89
2021-02-24 06:50:00,0.0,50152.63,50184.03,49929.15,49929.15,2.54,127202.614594,50091.6,75.3,50182.68
2021-02-24 06:55:00,0.0,50023.57,50137.94,50002.92,50104.04,0.43,21406.463664,50085.32,40.96,50002.92
2021-02-24 07:00:00,0.0,50206.4,50206.4,50035.1,50035.1,0.87,43429.199862,50154.98,46.57,50083.1
2021-02-24 07:05:00,0.0,50021.51,50115.49,49776.66,49852.47,2.75,136915.205006,49841.72,100.33,50115.49
2021-02-24 07:10:00,0.0,49861.52,49876.77,49561.04,49561.04,3.21,159742.81723400002,49818.44,63.01,49812.7
2021-02-24 07:15:00,0.0,49632.57,49821.53,49562.71,49754.05,0.1,5112.670244,49734.15,95.79,49773.03
2021-02-24 07:20:00,0.0,49789.84,50040.25,49789.84,49979.49,0.23,11295.964538,49871.81,77.69,49912.9
2021-02-24 07:25:00,0.0,50000.2,50012.92,49669.57,49739.65,1.09,54045.577637,49724.52,122.61,49669.57
2021-02-24 07:30:00,0.0,49801.05,50068.23,49801.05,49984.55,2.7,134841.01185,49974.43,60.06,49937.62
2021-02-24 07:35:00,0.0,49952.86,50238.97,49948.22,50129.51,4.59,230238.452953,50127.03,87.57,50238.97
2021-02-24 07:40:00,0.0,50153.07,50202.28,50058.51,50106.72,2.65,132979.975125,50133.83,38.12,50127.6
2021-02-24 07:45:00,0.0,50094.06,50273.97,50055.92,50230.63,2.43,121734.839345,50162.7,57.78,50170.54
2021-02-24 07:50:00,0.0,50196.92,50345.18,50101.22,50184.28,2.57,129134.245516,50233.11,70.15,50343.93
2021-02-24 07:55:00,0.0,50127.35,50191.06,50078.48,50078.48,0.8,39958.862746,50130.3,37.19,50182.87
2021-02-24 08:00:00,0.0,50119.82,50235.58,49814.39,50235.58,4.5,225308.479391,50035.19,118.97,50190.0
2021-02-24 08:05:00,0.0,50188.57,50493.5,50172.27,50490.5,4.84,243785.151008,50324.12,78.28,50480.92
2021-02-24 08:10:00,0.0,50383.71,50488.7,50344.77,50488.7,1.1,55330.526438,50415.06,33.49,50401.31
2021-02-24 08:15:00,0.0,50503.77,50881.7,50503.77,50759.72,2.37,119909.196197,50692.99,125.61,50848.65
2021-02-24 08:20:00,0.0,50734.21,50751.29,50569.18,50700.36,1.32,66881.371304,50663.87,44.73,50660.75
2021-02-24 08:25:00,0.0,50608.51,50720.7,50538.89,50637.39,0.57,29037.826885000002,50641.48,46.87,50677.62
2021-02-24 08:30:00,0.0,50648.67,50874.98,50648.67,50692.39,2.82,143515.413921,50825.31,64.83,50707.26
2021-02-24 08:35:00,0.0,50709.14,50848.38,50646.77,50718.15,1.23,62341.00191100001,50774.56,48.92,50671.34
2021-02-24 08:40:00,0.0,50734.56,50734.56,50397.11,50507.72,2.71,137405.800239,50671.46,89.67,50597.67
2021-02-24 08:45:00,0.0,50445.54,50507.08,50335.45,50478.51,0.92,46538.07872899999,50436.85,50.97,50502.51
2021-02-24 08:50:00,0.0,50491.34,50712.35,50491.34,50652.77,0.47,23534.716802,50579.66,63.56,50624.28
2021-02-24 08:55:00,0.0,50640.47,50754.14,50615.11,50676.57,0.79,40241.512169,50720.33,38.75,50639.46
2021-02-24 09:00:00,0.0,50665.65,50665.65,50450.5,50474.79,0.34,17283.890806,50522.92,57.27,50506.34
2021-02-24 09:05:00,0.0,50481.45,50601.91,50418.41,50464.42,1.04,52330.390273000005,50555.88,49.22,50502.98
2021-02-24 09:10:00,0.0,50469.61,50598.35,50371.57,50592.78,1.16,58605.116279,50473.79,62.07,50515.76
2021-02-24 09:15:00,0.0,50614.6,50952.42,50607.65,50927.08,3.22,163738.699577,50801.62,106.95,50794.31
2021-02-24 09:20:00,0.0,50893.19,50978.83,50758.36,50758.36,4.63,235400.806867,50878.77,53.58,50965.0
2021-02-24 09:25:00,0.0,50777.32,50881.9,50702.89,50777.48,2.3,117085.584034,50809.57,38.13,50813.14
2021-02-24 09:30:00,0.0,50788.02,50966.61,50788.02,50826.23,6.48,329498.38712,50881.5,48.27,50939.62
2021-02-24 09:35:00,0.0,50823.24,51229.77,50810.18,51218.31,1.75,89152.19267399999,50920.83,130.39,50819.94
2021-02-24 09:40:00,0.0,51246.56,51432.06,51125.77,51297.15,2.48,127059.736523,51299.96,73.27,51172.83
2021-02-24 09:45:00,0.0,51317.37,51339.16,50978.15,50978.15,16.84,862103.678989,51197.15,68.06,51151.89
2021-02-24 09:50:00,0.0,50987.98,51090.94,50908.59,50933.03,0.42,21451.292997,50953.19,42.54,50980.29
2021-02-24 09:55:00,0.0,50925.12,50939.61,50887.55,50899.67,0.4,20288.220354,50911.47,15.09,50909.89
2021-02-24 10:00:00,0.0,50905.82,51041.91,50902.89,50906.61,0.85,43279.111021,50970.57,37.1,50921.03
2021-02-24 10:05:00,0.0,50906.61,51009.13,50748.85,51005.87,1.03,52640.054080999995,50864.87,67.52,50906.61
2021-02-24 10:10:00,0.0,50967.93,50967.93,50631.65,50695.67,0.99,50070.326893,50781.26,112.3,50945.54
2021-02-24 10:15:00,0.0,50696.78,50696.78,50408.36,50584.69,1.45,73329.559554,50586.06,61.59,50630.48
2021-02-24 10:20:00,0.0,50541.36,50691.32,50342.27,50392.23,5.63,284685.970651,50582.06,61.84,50617.67
2021-02-24 10:25:00,0.0,50255.76,50566.67,50255.76,50472.94,0.26,13356.295577,50401.12,76.6,50407.05
2021-02-24 10:30:00,0.0,50470.28,50646.41,50470.28,50543.71,0.83,41925.547805,50604.16,39.02,50584.23
2021-02-24 10:35:00,0.0,50457.56,50457.56,50302.24,50441.92,0.82,41328.719655,50388.59,41.53,50423.94
2021-02-24 10:40:00,0.0,50375.89,50578.43,50375.89,50569.75,0.12,6044.027837,50493.13,61.19,50573.31
2021-02-24 10:45:00,0.0,50619.2,50638.6,50514.13,50582.08,0.23,11437.055105000001,50561.69,30.3,50581.41
2021-02-24 10:50:00,0.0,50538.16,50603.17,50356.53,50395.28,1.37,68992.951113,50474.03,74.76,50553.57
2021-02-24 10:55:00,0.0,50405.62,50446.28,50124.23,50144.41,2.77,139160.237802,50307.37,95.69,50445.86
2021-02-24 11:00:00,0.0,50140.45,50530.95,50140.45,50464.76,0.87,43758.734846,50332.11,96.2,50308.03
2021-02-24 11:05:00,0.0,50460.5,50624.4,50447.26,50592.87,0.63,32089.979813,50543.36,38.46,50588.69
2021-02-24 11:10:00,0.0,50540.7,50606.27,50440.95,50456.26,0.35,17533.645041,50529.24,46.5,50459.43
2021-02-24 11:15:00,0.0,50445.09,50483.79,50289.62,50346.74,0.79,39914.914781,50391.26,50.78,50368.91
2021-02-24 11:20:00,0.0,50352.96,50885.62,50350.72,50875.09,1.07,54160.126121,50583.85,172.95,50690.31
2021-02-24 11:25:00,0.0,50877.9,50924.23,50749.53,50767.93,3.21,163028.823657,50825.8,43.2,50828.72
