timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bnus_vwap,sigma,bnus_vwmp (upper)
2021-02-24 16:40:00,0.01,49756.11,49756.11,49593.0,49640.98,2.85,141806.4382131,49694.33,37.52,49640.98
2021-02-24 16:45:00,0.01,49609.74,49678.91,49532.65,49653.17,0.98,48669.685863,49600.59,34.69,49649.09
2021-02-24 16:50:00,0.01,49653.17,49818.06,49553.26,49553.26,4.36,216834.00161051,49695.37,63.79,49605.81
2021-02-24 16:55:00,0.01,49545.49,49617.02,49335.8,49341.98,6.5,320924.67098368,49403.33,83.76,49345.0
2021-02-24 17:00:00,0.01,49337.75,49634.31,49337.75,49616.84,2.71,134033.68877464999,49423.82,87.36,49414.6
2021-02-24 17:05:00,0.01,49623.2,49978.47,49539.12,49906.14,6.89,343371.03877645,49801.74,127.41,49787.28
2021-02-24 17:10:00,0.01,49919.28,49978.47,49724.36,49781.27,1.93,96098.47557428,49851.13,68.14,49792.14
2021-02-24 17:15:00,0.01,49781.27,49925.62,49781.27,49883.94,1.52,75884.75317957,49869.65,24.58,49863.92
2021-02-24 17:20:00,0.01,49880.7,49970.51,49852.72,49912.1,3.08,153541.31726736002,49918.0,32.17,49867.35
2021-02-24 17:25:00,0.01,49911.26,49912.1,49711.94,49738.96,4.39,218769.18039012,49806.52,40.41,49821.71
2021-02-24 17:30:00,0.01,49767.25,49900.9,49657.21,49701.95,2.2,109416.92725533,49756.32,65.12,49661.37
2021-02-24 17:35:00,0.01,49674.84,49865.23,49657.8,49788.29,1.32,65654.83742593,49726.61,55.17,49829.69
2021-02-24 17:40:00,0.01,49760.84,49923.49,49738.15,49880.27,1.11,55520.89342994,49866.62,44.45,49845.19
2021-02-24 17:45:00,0.0,49907.31,49918.24,49769.15,49792.94,0.99,49139.475889409994,49861.32,39.3,49867.97
2021-02-24 17:50:00,0.01,49797.83,49880.28,49779.72,49840.58,2.65,132293.81534347,49830.39,20.62,49844.52
2021-02-24 17:55:00,0.01,49840.59,50084.5,49840.59,50084.5,3.14,156990.61815873,50011.08,61.02,50049.57
2021-02-24 18:00:00,0.01,50065.13,50084.5,49952.52,49987.25,1.71,85496.80543872999,50004.48,31.74,49978.34
2021-02-24 18:05:00,0.01,49987.25,49987.4,49726.79,49879.4,3.74,186645.58092727998,49908.65,65.32,49800.0
2021-02-24 18:10:00,0.01,49880.61,49919.01,49642.0,49698.19,2.68,133311.38630873,49790.56,95.85,49688.41
2021-02-24 18:15:00,0.01,49700.68,49819.9,49575.32,49596.98,4.55,225988.10687173,49703.12,75.7,49700.0
